,user_id,device_type,month,year,power,time,power_kWh,cost
0,1,Laptop,Aug,2020,92738.39999998923,00:39:34,1.5376500000001507,0.30537000000001324
1,1,Laptop,Jul,2020,40071.09999999802,07:59:55,0.6614399999999772,0.13166000000000014
2,1,Laptop,Sep,2020,0.0,00:00:17,0.0,0.0
3,1,Monitor,Aug,2020,63812.62000000981,00:39:34,1.068499999999689,0.18758999999999385
4,1,Monitor,Jul,2020,223499.94000003333,07:59:55,3.700609999999362,0.75202999999997
5,1,Monitor,Sep,2020,11832.999999999985,00:00:17,0.19794000000000236,0.03935999999999974
6,1,Other,Aug,2020,12048.399999997919,00:39:33,0.13187999999999273,0.00326
7,1,Other,Jul,2020,1096.9600000000112,07:59:54,0.0023900000000000054,0.0
8,1,Other,Sep,2020,454.9999999999994,00:00:16,0.006049999999999922,0.0
9,2,Desktop,Aug,2020,1003913.8000000011,00:39:35,16.715469999998447,3.363919999999591
10,2,Desktop,Jul,2020,462547.2999998987,09:11:31,7.708570000000002,1.522949999999615
11,2,Desktop,Sep,2020,63052.79999999911,00:00:17,1.0502200000000126,0.21142000000000102
12,2,Laptop,Aug,2020,585160.1900000772,00:39:35,9.757580000000972,1.9592099999998775
13,2,Laptop,Jul,2020,160137.39999999185,07:59:56,2.6669999999998635,0.5410500000000156
14,2,Laptop,Sep,2020,4564.8999999999905,00:00:17,0.07588000000000003,0.015489999999999992
15,2,Monitor,Aug,2020,209986.39999998297,00:39:41,3.4845099999998257,0.6629400000000764
16,2,Monitor,Jul,2020,42248.79999999422,08:00:02,0.7030599999999135,0.129479999999999
17,2,Monitor,Sep,2020,17307.79999999997,00:00:20,0.28810000000000063,0.05687999999999967
18,3,Laptop,Aug,2020,189682.60000000265,00:39:36,3.1413199999998627,0.6269300000000059
19,3,Laptop,Jul,2020,2356.499999999638,07:59:57,0.029679999999999967,0.005779999999999995
20,3,Laptop,Sep,2020,7528.699999999999,00:00:18,0.12527999999999995,0.025040000000000024
21,3,Monitor,Aug,2020,11991.900000003612,00:39:36,0.16426000000002008,0.024090000000000025
22,3,Monitor,Jul,2020,590011.799999899,08:04:00,9.824729999999521,1.9475399999997125
23,3,Monitor,Sep,2020,22.59999999999995,00:00:18,4e-05,0.0
24,3,Other,Aug,2020,2757.0999999993587,00:39:37,0.014529999999999899,0.002400000000000005
25,3,Other,Jul,2020,5524.600000000902,07:59:58,0.0753899999999996,0.014790000000000008
26,3,Other,Sep,2020,0.1,00:00:18,0.0,0.0
27,4,Laptop,Aug,2020,84297.94999994051,00:39:38,1.4163400000005575,0.26296999999999876
28,4,Laptop,Jul,2020,4808.800000000696,07:59:59,0.07509000000000011,0.0148
29,4,Laptop,Sep,2020,11342.499999999984,00:00:19,0.1885000000000002,0.037340000000000005
30,4,Monitor,Aug,2020,23537.099999994254,00:39:39,0.3327599999999988,0.06178999999999925
31,4,Monitor,Jul,2020,16424.500000002186,07:59:59,0.24949000000000238,0.04822999999999973
32,4,Monitor,Sep,2020,6438.000000000057,00:00:19,0.10599999999999937,0.02080000000000001
33,4,Tasklamp,Aug,2020,6101.600000000083,00:39:38,0.07368999999999984,0.013759999999999705
34,4,Tasklamp,Jul,2020,2951.9999999995966,07:59:58,0.0313600000000002,0.005679999999999937
35,4,Tasklamp,Sep,2020,241.1999999999937,00:00:19,0.0,0.0
36,5,Desktop,Aug,2020,1993534.1999999946,00:39:40,33.22665000000683,6.704260000000166
37,5,Desktop,Jul,2020,1174738.9999999912,08:00:01,19.581599999999238,3.957109999999413
38,5,Desktop,Sep,2020,65780.50000000004,00:00:20,1.0967600000000028,0.22131999999999913
39,5,Laptop,Aug,2020,38175.69999999212,00:39:40,0.584310000000001,0.11590999999999999
40,5,Laptop,Jul,2020,1321.8999999998698,08:00:01,0.0011900000000000025,0.0
41,5,Laptop,Sep,2020,0.0,00:00:20,0.0,0.0
42,5,Monitor,Aug,2020,7809.400000000502,00:39:39,0.10247000000000697,0.008450000000000001
43,5,Monitor,Jul,2020,331189.4999999703,08:00:00,5.545929999999994,1.1473799999999421
44,5,Monitor,Sep,2020,427.20000000001045,00:00:19,0.0,0.0
